	0	1	2	3	4	5	6	7	8	9
0	-2492692.5	-2780490.5	0.8486146	0.4831318	-1341794.4	0.94814897	0.8337991	-2358528.0	2860482.2	588163.06
1	-1166489.2	2343763.0	0.50331265	0.8721586	374798.0	0.27850193	0.8565268	-12363736.0	-1523120.5	-2298595.5
2	5498580.0	-3888359.0	0.29908893	0.45979026	-11051264.0	1.0246254	0.7094116	-1763523.1	-5790749.5	-8106093.0
3	5586355.5	-10852310.0	0.4385028	0.37687472	-828934.25	0.7856968	0.4519129	-6319911.5	-12780720.0	849611.94
4	274697.53	-3419771.5	0.27845737	0.17998086	2693024.2	0.18499154	0.5447975	1796348.8	6760219.5	-9036530.0
5	4446978.5	-883292.4	0.41861758	0.32094797	-71412.016	0.8365778	0.67563474	-353657.97	-6789455.5	4324812.5
6	-1514156.9	647260.5	1.0398421	0.21598081	1839026.4	0.8975867	0.4569008	1491454.9	-3845495.2	-5416986.5
7	258684.39	2907410.0	0.97449577	0.64087206	1119911.4	0.88267463	0.98742324	-7333757.5	-4493144.0	-1999097.6
8	-4238226.5	-5613036.0	0.22869976	0.3728553	5094248.5	0.2081102	0.35738593	4864868.5	-721468.7	-4765195.5
9	-6992542.5	-2528743.8	0.23364921	0.1812793	-6060913.5	0.42045823	0.18171127	901197.1	1501325.4	197953.7
10	-221593.05	4478957.0	0.30301502	-1120765.2	-396174.7	-800732.8	7101554.5	0.17967223	-2069079.4	-602930.1
11	1375713.0	-604512.94	0.1810938	5412362.0	1482330.5	-2499192.0	6200827.5	0.17432736	-1459709.8	-5714969.5
12	-7798360.0	-1264601.0	0.27283847	-3725615.8	-5773432.5	2236478.8	3744581.0	0.17863415	364893.6	-905315.75
13	5989764.0	-1198330.0	0.18393928	9453564.0	-2699840.5	-5598321.0	464298.03	0.25421977	-1534765.4	-3715119.2
14	-2243113.5	-4941234.0	0.18474446	8676272.0	-9684016.0	-1918830.4	2153984.8	0.17276286	-5539193.0	-38037.52
15	-586685.9	5494819.0	0.18356231	2506231.2	268125.56	119975.72	4880988.0	0.21237594	1429635.0	-3295220.2
16	75922.77	-4407335.0	0.1800527	715514.06	2174562.8	12476712.0	-3518018.0	0.17748027	-4507580.0	-2628917.0
17	-10416983.0	-1815272.5	0.19033921	-2499950.8	94204.086	3820499.8	2382417.2	0.1894045	-9685706.0	-6263280.0
18	1512330.0	-3568584.8	0.1814071	4601317.5	1170365.6	-2318795.2	1049002.0	0.17375043	-6899494.5	-10725218.0
19	3875021.5	-9673270.0	0.17821656	-9639834.0	10509933.0	1850658.6	5563255.5	0.1899308	-93604.64	2741034.8
20	-2358854.2	5733723.0	0.8323564	-1044513.1	4132707.8	3658859.0	-4508354.0	5360319.5	0.60547024	962606.0
21	-8138196.0	-4249431.5	0.49743813	-8274968.5	-3958377.2	-2108630.5	2464264.2	11092609.0	0.5265	111808.76
22	-1443856.0	2245491.0	0.9616336	-4622496.5	-1296903.2	-3007521.0	7539633.5	-4050229.5	0.94872224	-11194002.0
23	-10451071.0	-561705.0	0.9713768	-8865834.0	4416717.5	-233507.45	-9599752.0	4336349.0	0.3257377	-12721262.0
24	6093141.0	3303723.2	0.89644814	9739693.0	8807607.0	-253306.89	5389819.0	1487531.4	1.061711	3513854.5
25	2000511.2	2245453.2	0.9449203	-4138628.0	536950.9	-8315950.0	-8984904.0	480303.9	0.40138185	3167335.5
26	-9621896.0	-2088836.9	0.54921716	-2729333.2	-1430174.5	-6029993.5	5526124.0	-3665299.5	0.16669261	-1924703.6
27	-3392166.0	3028889.0	1.092209	-2758221.0	2953398.0	-2420196.2	7323648.0	4560321.0	0.26537523	-2844083.2
28	-639277.44	-2574265.0	0.5012677	138092.11	2308597.0	-9117600.0	-18819744.0	-302507.9	1.0182548	-2036134.9
29	-3616844.5	-10986404.0	0.8917927	-407011.44	-5856503.5	-4845629.5	-8774931.0	3734325.8	0.42800668	5966466.0
30	-14577807.0	0.5220094	208056.86	4786003.0	2578033.5	-349297.97	8556474.0	1105217.0	-14877651.0	-1274316.0
31	-11127321.0	0.8251934	-3576181.2	-1278438.0	-1247761.9	6066811.0	2349263.8	-12718248.0	1477559.5	-5567605.5
32	-3759838.2	0.74065375	-10979395.0	4901278.5	-6750555.5	4338651.5	3730089.2	3474358.0	10022426.0	4267300.0
33	-9311244.0	0.87581205	-6836018.0	7089569.5	-3620631.0	2784185.0	2447104.8	3931342.0	-5613036.5	2759663.2
34	-1858399.6	0.82940966	-2589848.5	-608517.3	133394.78	-13910912.0	1500316.8	-17811.605	-3262505.8	-1759036.1
35	-225564.86	1.024242	-1160602.4	-717631.4	2887113.5	7996042.5	3046649.2	7770582.5	6597326.0	-7938364.0
36	-3405856.8	0.9482999	-1525564.5	5347544.5	-10957277.0	-3785545.8	4919998.0	-2692704.5	-6261842.0	-5593179.0
37	1352784.2	0.6531474	-10151008.0	-12368160.0	-4202768.0	-16854658.0	-2099201.5	-2203782.0	4672342.0	-7572580.5
38	-309612.94	0.9260904	-5498829.0	-5714830.0	-12120276.0	5151746.0	3008561.2	-3635230.5	-2661426.5	1007665.44
39	11054057.0	0.9854002	2915619.0	-13756900.0	3829926.5	-9878253.0	9370837.0	9056016.0	-3964143.0	-242844.16
40	-2430795.5	-202819.72	0.75078124	-8383104.0	-4534790.0	0.73322207	0.8119755	0.9524614	-5743626.0	-5322591.0
41	2623980.0	2182948.8	0.3872791	-3432032.0	-3296654.0	0.57351756	0.7763033	0.99574673	-12883327.0	-8499992.0
42	1577424.1	-6175190.0	0.58432424	-7319659.5	-9432040.0	0.79528797	0.8474617	0.63720894	-10333016.0	-6332063.0
43	2577105.2	4666553.0	0.3486021	8667789.0	1345046.4	0.64636075	0.8946016	0.5224476	-11000528.0	-7144513.5
44	-2683989.2	-2395636.5	0.8769475	1262520.5	2590166.8	0.55165493	1.0320574	0.8954346	-5805022.5	-6039114.5
45	6579328.5	-10421412.0	0.5113578	5352603.0	-13294.061	1.0418289	1.0068225	0.24006288	-12022265.0	4721601.5
46	-2906580.0	6491779.0	0.28636453	5905310.5	-9835706.0	0.9135878	0.6343205	0.20766748	-1855466.1	-3622628.2
47	11503224.0	-5733240.5	0.88536835	-13631625.0	14626815.0	0.4089821	0.53352815	0.6891654	2610797.5	-6431050.0
48	-4202170.0	7872675.0	1.0188092	6217270.5	330642.0	0.5784943	0.6713094	0.48444557	6758320.0	825328.44
49	-5918271.5	-47593.242	0.30228734	2070484.2	2888881.2	0.31128642	0.29549178	0.31439373	6844769.0	-7111553.5
50	-4811976.5	-6270175.0	4943913.0	-4731396.5	752090.5	6283414.5	-514816.3	-3929822.5	0.17846015	-4840541.0
51	-9784457.0	9389497.0	2134004.8	5830989.5	-4121531.0	4276068.5	-5271646.5	1642676.0	0.18328767	-3444769.8
52	-2721487.5	-10364831.0	4449391.0	-1032948.6	3621409.2	-4184139.2	-124332.164	9102911.0	0.17720865	-6362058.0
53	2725472.2	-2411877.8	8974136.0	-1520749.4	-6491099.5	740985.2	108138.625	210871.97	0.16914415	-5960765.5
54	-12160974.0	11352485.0	-5249490.5	1777215.0	-474196.5	-4791513.5	-432319.8	-582489.94	0.1827448	406302.75
55	-5045071.5	4790432.5	-2125388.0	-4669634.0	5974919.0	-1161882.6	2956942.0	598631.44	0.16998787	-5133909.5
56	3718829.5	1830225.5	-758323.44	-8224658.0	-11382339.0	5249147.5	3264079.8	-5659049.0	0.17753756	-1871666.2
57	-5926502.0	524764.25	10544543.0	-428264.1	-2561101.0	9957620.0	484564.38	-6137782.5	0.16743441	-2595507.5
58	-1731426.0	-8995312.0	8658450.0	11992180.0	8436019.0	-3769832.0	3963677.2	1513737.4	0.17760585	3032530.8
59	-11076341.0	-5226159.5	4305629.5	3921163.5	-2473297.0	-5319587.0	5963746.5	4093355.5	0.17638914	738035.9
60	0.48197484	0.3338055	-608469.6	-4306806.0	-7707827.0	-1676503.2	-4726067.5	-2069966.5	-9339538.0	0.98198664
61	0.6796788	0.8676808	2813077.5	-4804100.0	-14794013.0	173338.98	-5656171.5	-1502444.1	2008563.8	0.94771594
62	0.7268546	0.8562059	-8066113.5	5753177.0	478686.1	-5925080.5	-7169320.5	1135672.9	10130886.0	0.9951882
63	0.85894114	0.79144543	-3302091.8	5885348.0	1969811.6	-249790.28	-3669375.8	-6458336.0	-6562.5386	1.0128146
64	0.8268138	0.68798435	-6727840.5	-7571210.5	-7028868.5	490429.8	-4833403.5	2694844.0	-1535080.6	0.9766383
65	0.9815028	0.51649415	2624894.2	1584394.1	-5407617.5	-3941192.5	-8289245.0	1224484.6	-1371373.5	1.0038751
66	1.0359464	1.0390644	-80295.74	-10498386.0	-12803688.0	2637741.8	-660786.8	-3796641.0	-8825249.0	0.9895262
67	0.35422468	0.72514987	-13402919.0	-9252033.0	3012286.2	-8593563.0	9475920.0	-4434314.0	504912.0	1.0159134
68	0.73768896	0.8046153	-8570535.0	-7090240.0	-356544.8	-8882661.0	9431732.0	1424551.8	-2623220.0	1.0612085
69	0.6894475	0.73804855	-423162.38	-3900856.8	-8631075.0	261327.23	-2190732.2	-3453396.5	1598056.1	1.0216428
70	3604042.8	-12001648.0	-3463173.5	4438044.0	-5798300.0	-6043126.5	-4294854.0	9064847.0	11201230.0	-2104952.2
71	4519883.0	2342737.5	6137278.5	-12146420.0	3726326.8	-132012.2	-6035442.5	6421012.0	1354840.9	-5066761.5
72	4591171.0	-5357095.5	-1702004.2	-1955494.0	-3160637.5	3484656.5	12401558.0	-4366331.5	-4029390.5	-1968581.8
73	-4249632.5	5252949.0	-4952185.0	-4364600.5	4510791.5	3344235.5	1640966.6	1323093.6	3266732.5	-3963385.2
74	1679176.4	8442945.0	-126389.25	7713487.5	-5401660.0	-6296588.5	1266927.6	2335972.0	6192457.0	-8773693.0
75	-5072411.0	12780359.0	1851484.2	7402213.0	238680.89	-2776807.0	11016857.0	4939335.0	1504675.6	-2010494.4
76	2177791.8	-5935464.0	-764107.1	-10426605.0	16129585.0	-1403292.6	-1491392.8	478167.56	2749453.8	7188394.0
77	1320050.0	10914571.0	-6795891.5	4315883.5	-2725211.5	-3556205.2	-2337408.2	-334270.9	5137105.0	771546.3
78	8475443.0	582693.1	231684.23	-10798288.0	2803340.2	4968503.5	-9651029.0	3300958.2	-2342925.0	-442844.94
79	2564360.2	3226743.8	-59403.63	5840187.5	-12928028.0	15101243.0	6146271.5	6142863.0	1381181.8	-2062180.8
80	-10828460.0	-2214410.5	11260040.0	-4768898.5	7103061.0	5179778.0	1827796.1	-14073954.0	5336370.5	-654766.8
81	-7603363.5	3255621.2	-1192582.5	-401881.7	-4503201.0	-6045152.5	4674398.0	-5432641.0	-1248394.6	50354.406
82	-11145385.0	-7707216.0	-6442307.5	6443187.5	-8783397.0	-3301953.0	3839971.2	-2901462.8	-7068128.0	3670992.5
83	10724187.0	-690219.3	357463.94	763698.94	2037506.2	6174455.5	-4997822.5	-6357467.0	-5224325.0	3562389.2
84	4461990.0	-4281585.0	-7100575.5	-359433.6	-2695128.2	886606.4	820397.9	907517.4	2225090.8	-11340007.0
85	-8090057.5	6335576.0	5859788.0	-9426718.0	4396642.0	4133047.0	-6624532.5	-950103.1	256067.75	-7111315.0
86	-8955396.0	-1353858.1	2183613.0	-3254029.2	-10360556.0	-96931.92	4395071.5	6164443.5	2297408.5	-7357354.0
87	1985237.6	-3235709.5	-5887881.5	1869461.0	-6655806.5	5940371.0	4300428.5	-3870491.5	7052299.0	-2442634.5
88	-5261970.0	9307956.0	-17885632.0	8097919.5	-2195200.2	9825841.0	-7631864.5	4527970.0	-2643025.8	-4256045.0
89	9259850.0	1484981.2	-2778497.5	-2369623.0	-8331659.5	-9058567.0	-4749485.5	3208048.8	-7848830.5	3292813.0
90	-9858724.0	17373586.0	0.17872323	447566.6	0.2690041	-5782664.5	1163926.0	-405892.0	0.18041098	0.605495
91	3785961.2	-2300038.2	0.17295414	3218053.0	0.25336897	-8128471.0	-6007020.5	-10088250.0	0.1894061	0.6010746
92	10689786.0	-5220506.0	0.17532203	-3090049.5	0.17979306	675808.9	5578330.5	-3877483.0	0.17700599	0.60003436
93	-9067445.0	44324.668	0.17497075	-3650309.0	0.17747305	-9537357.0	312340.6	-2619961.8	0.17428872	0.6068381
94	5102041.0	-6411688.0	0.23414682	-6389210.0	0.2601436	1364418.4	1419616.2	10835384.0	0.17775269	0.6138497
95	6751025.5	-2115746.2	0.18216257	5894685.0	0.25456274	-3508515.8	1754282.1	1521002.6	0.17404744	0.6016064
