	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
0	1061.6215	-27067.094	-70656.69	5193.9775	8830.966	-8751.737	-10597.444	-15187.098	-33847.39	16647.146	-64393.21	52669.81	9181.774	8221.82	45492.066	28512.43	-1793.2842	79410.82	10230.62	40423.79	18502.559	-57065.492	-34500.637	-23846.6	-159.03499	-21109.217	61391.61	5811.9062	24987.297	-15227.399	62537.527	25728.926	15333.724	-10782.94	33214.12	-8039.393	-35109.445
1	-38894.656	33757.59	70775.59	-13722.3955	27808.756	50719.945	-1080.7898	33244.812	35803.887	-42082.895	-15173.986	-22842.48	27289.121	59358.645	3873.7998	7121.8276	4528.5303	21365.873	-7033.203	-9355.942	-19366.477	871.3513	29911.771	10671.462	37394.754	34721.36	-11073.23	33121.246	-44184.53	-12959.857	-25242.166	-10892.098	-12547.934	-8425.945	-18276.18	-4961.792	-4492.3164
2	-26962.404	-32668.934	44835.938	-11810.859	-867.0212	-15321.585	-3839.7168	34309.07	-74558.336	47802.742	1494.1643	58274.977	5167.0483	11154.035	20226.295	-15393.455	27414.941	30090.213	11095.585	20420.432	66595.69	-43452.105	-25406.182	-13847.512	-47756.68	-54820.44	10874.142	-4917.189	43886.117	27261.775	-54062.387	-4673.1895	28899.16	-34154.86	1496.5892	-10436.421	-64693.938
3	-4684.9233	48728.67	25017.477	63105.92	-43793.477	33424.62	-43757.19	45229.05	4836.495	66364.805	-24975.1	73959.07	34341.207	-6272.937	597.4764	19730.717	-8358.494	-25108.605	10674.552	-24773.035	77072.68	-38267.152	54681.63	-66870.695	-38606.203	29426.414	12635.727	-9613.656	9695.196	-33211.188	26926.115	44020.734	10513.675	30377.531	1094.1581	-27301.082	22178.305
4	16416.172	17848.143	-15120.831	-1518.8298	-37283.9	-40049.543	-5588.6504	-20749.89	74320.766	29551.967	42247.508	-60767.6	-2712.2139	-7334.9014	-57134.805	68780.12	-4355.798	19679.467	-25431.986	45864.324	-18864.37	25435.45	-16857.36	29943.688	-53245.766	13709.881	-30118.648	22035.787	44364.574	-6502.0225	2914.142	9316.187	-25222.709	53036.625	-23664.352	16315.397	-38915.55
5	-8711.92	-36005.355	-5972.5317	13821.711	1360.1913	-43442.953	-30474.389	-22493.465	-50171.688	-22766.352	-28936.13	4874.027	36495.87	1454.3367	-3572.6448	-1980.9319	-1364.7856	-47384.543	-15782.778	11064.058	-60452.734	-16582.494	-3258.715	20759.158	53810.523	-26795.277	23621.855	-42028.445	19757.908	-14235.523	-38715.074	-41247.78	28297.887	1456.4554	-25401.023	9938.615	-16258.589
6	62321.523	20112.826	45726.23	-14284.923	-47478.234	17441.375	61899.85	14508.309	-15238.525	17378.406	-5884.239	-78273.234	10831.492	-19928.895	14982.052	-1288.2411	-1992.6288	24126.373	-39496.773	53931.18	-11688.5625	8272.569	-16237.505	-90076.23	15203.072	-32025.547	21112.82	-30764.848	36473.867	-82815.97	-63851.688	44803.94	54301.29	-6667.671	29282.182	9537.376	-13151.801
7	-11373.317	-34280.09	45930.53	-9478.338	26700.379	17466.332	-35658.04	3354.9546	1531.7148	-9867.361	-25088.4	-1275.3292	-57060.887	11752.58	-25339.383	-10191.425	29201.455	22344.75	-30913.094	-2743.1033	-92.65179	-37561.547	-42411.016	-7469.681	44631.9	-45157.887	19848.695	-4693.952	-12885.152	16883.854	-39366.086	30611.69	-49718.74	21249.146	-373.21213	17466.844	-8525.005
8	28407.754	62415.805	-2325.9539	7522.863	63855.8	-23097.795	-69217.94	-29636.594	-85786.21	82432.13	-2677.9243	14636.794	-32601.879	-36658.36	-89451.08	4068.42	40645.344	-87501.12	13050.769	-11006.98	-29965.736	16277.648	2022.0931	-27838.219	24741.16	11131.762	14462.752	-9769.838	-14304.21	-5924.915	18156.19	65901.914	19711.8	5079.18	46447.797	-12207.378	-8807.409
9	-2751.7595	-3569.7527	22888.64	-22234.264	22582.352	-11885.647	10029.109	-3074.6897	-3817.791	51197.316	-21203.928	-42483.88	36167.277	-19763.996	-3116.2585	59444.785	-4638.398	-948.2421	-18390.314	-9589.068	-24236.16	-13168.918	-1207.9816	23337.55	-51131.48	33095.434	27737.973	-11364.267	-33115.047	-14314.723	-10924.379	41817.574	-7995.094	43233.523	18116.965	-24313.605	-21511.97
10	-12352.166	17272.7	-11863.068	-12789.985	-5.2935596	882.12646	-25936.295	-9994.315	-55111.586	1187.6748	-37597.95	17931.8	-16761.271	-869.94495	-1038.4614	40921.902	-2124.3306	-35272.938	-1194.3844	-20509.254	-26316.367	61182.684	1944.4672	44812.695	-41191.22	22048.2	26416.965	15525.47	-62925.67	-8232.977	16778.992	22135.578	24102.11	-36596.953	31400.865	23221.973	-26861.477
11	-49796.547	22420.521	16788.545	18215.254	10287.192	-9250.972	-42078.914	43237.28	-34804.04	15392.151	-1937.755	12770.682	12076.007	13925.1045	7277.4565	-876.54425	24252.553	24251.357	-15722.33	-18068.598	-6477.0244	-67625.95	-1014.4725	-8880.349	2528.518	-18131.244	-35015.375	58838.68	10806.229	-17002.766	-13789.481	-43636.594	-66645.87	64819.566	13946.318	56585.438	4779.103
12	-6603.206	2859.8098	17809.803	-10791.501	65115.945	-46880.46	7713.7505	34346.656	1115.4658	-53088.914	51909.496	-25338.863	-18994.379	-6059.5654	-12254.345	29167.26	-3044.9338	36757.344	7541.6436	-1712.0067	-3543.215	-28411.438	-5064.026	-2984.1165	21657.941	10955.352	-42975.45	23573.92	34889.125	-48538.008	46462.8	-23424.312	5335.7583	-38037.992	20666.168	3901.093	15911.891
13	6972.7793	-35614.918	-55733.26	-27524.193	42820.56	-51451.22	-7407.496	-42216.387	5940.8354	1994.6641	-5368.9653	-28898.012	-24754.951	34462.332	-13812.04	4982.432	-6075.7954	-33505.543	-28834.05	-43638.33	1185.561	-57549.395	8145.616	24157.44	56132.867	66858.14	-9762.925	54114.504	-72603.04	43985.766	-3124.4211	-11405.965	-50552.535	27904.164	30302.227	-30228.893	-18198.68
14	101854.75	94682.88	31255.57	25117.625	-8073.693	-20649.67	60126.156	93478.01	-37594.95	-22973.385	46690.2	74284.52	53113.312	50759.73	4302.5522	-29703.543	-29393.754	-62899.074	10577.845	-11656.452	44492.02	-9839.625	-12153.979	38856.22	6946.6606	5461.271	-9648.825	34646.36	11141.347	-41576.95	-2886.2983	-6290.6216	-13995.825	29501.223	-22280.283	28159.502	13948.304
15	73293.85	22246.574	-19593.973	30061.705	17993.834	15420.348	-19160.416	42154.75	-11713.744	-26587.38	11252.936	-175.044	38947.652	-6708.2427	-17290.799	26771.398	-24441.21	-16848.707	-23125.664	27053.295	-15512.492	-31503.156	-30821.586	-2716.9233	-30179.191	-17294.104	26625.898	47158.113	-33505.93	-30733.432	15757.953	3515.9172	-8689.048	-18260.91	-16785.193	20096.418	1410.3573
16	7441.1216	-63766.7	6389.2153	-9580.819	-10973.209	-13094.342	-9628.678	7211.703	35744.34	-15352.433	-35203.55	-22283.393	-12813.785	-4423.6313	59486.2	-59487.277	-9746.178	-17762.07	14592.47	19170.266	45556.95	8081.7725	84707.016	41264.332	-10823.959	2757.7637	15755.682	665.9478	4937.403	-74652.055	32285.576	-11914.214	-12692.758	25183.04	-28957.3	4336.5654	-41832.97
17	-6355.5503	36067.164	-1821.6758	40255.43	-33401.812	10615.025	23987.648	-31498.545	-22934.049	81432.97	25543.809	58963.01	-191.43756	26612.344	3271.5327	64.540306	-34827.16	42125.684	16556.396	34690.51	-13864.471	12381.018	-9976.418	-37011.344	16445.104	-44452.895	-20182.176	22971.56	-25451.695	-27691.225	-31188.86	-14993.745	-8752.107	-36991.2	70630.42	21705.66	3434.8022
18	-63676.758	39856.535	-15101.055	-6229.3364	-7563.7812	9327.274	10419.09	-79255.85	10558.958	57370.617	36406.344	18379.623	-13339.846	-1591.3898	-5114.273	-49777.344	-37351.19	-4734.0674	-63202.58	-15121.458	-11583.96	-73483.695	7940.597	5147.256	-62713.426	83899.58	-1148.4692	-40586.426	41704.285	28276.184	-7617.6875	15437.812	329.45673	17383.084	37708.105	-35570.17	21584.79
