X_tilde,Y,X,Z
-2.360908254,3.49637083,-0.120758293,1
2.708192936,0.419550696,0.538869768,0
1.162897115,2.970061695,0.049118162,1
-2.187941562,1.244846874,0.356808771,1
0.856524872,1.768872946,0.332279993,0
5.172285054,3.456340124,2.370845884,1
1.668908062,-0.177685916,-0.509874189,0
3.644139607,3.325800508,1.521793722,1
-1.314814949,0.115797414,-0.543249453,0
-0.109710514,0.377620482,0.719325321,1
-0.726793558,3.263630092,0.107765045,1
1.795741563,0.595792773,0.630938031,0
-0.251794598,2.59180833,0.464478412,0
-1.642625911,2.429472334,0.093046486,0
-0.738690778,1.428021656,-0.125286856,0
-0.158220648,-0.218319961,-0.578996767,1
-1.504866117,-1.902564933,-1.886866496,0
-0.035437542,2.38217036,0.828354366,1
-2.380435652,1.175095226,0.263935112,0
0.283370645,3.370096599,1.550510959,1
4.329154507,2.120603982,0.902994252,0
3.442642247,1.884791865,1.12150273,0
-2.73271676,1.493148919,-1.20994161,0
-0.436937198,2.592075353,-0.430417892,0
2.532783442,3.942447581,1.026450433,0
0.682354524,2.676026473,0.04491067,1
0.599636572,2.365432396,-0.210289102,1
0.975215862,1.817851221,0.731890132,1
-0.111930361,2.367129642,0.731810895,1
0.199180845,1.293275334,0.735634393,0
1.621596165,1.492374565,0.743473779,1
-0.649363445,0.109897772,-0.501769284,1
-1.919365382,1.284908201,-0.904424982,0
2.616546248,4.497635846,1.684063209,1
-0.994989702,2.715018056,0.526606768,0
0.549002872,3.92801744,0.792473457,1
2.624652785,1.31874874,0.702247566,1
1.395426717,3.442355937,2.094118797,0
-2.503664716,2.573864987,0.320526864,1
-0.02561548,3.143347561,0.895326283,1
-1.126467067,1.88870492,0.969328095,1
1.471948954,0.765902398,0.260210396,0
3.078557963,1.642068125,0.624288772,1
0.732846584,1.276518151,-0.373445005,1
1.732775269,2.59675621,-0.424342726,1
-0.274572144,4.275266676,1.004511302,1
1.699035159,2.677259552,0.397104388,0
-0.168943469,1.378890736,-0.88619628,1
-3.271112903,-1.444642896,-1.688480184,0
2.747682306,2.452579992,2.217543229,1
0.932684866,2.954387758,1.382048212,0
-0.90420207,3.441528839,-0.157925048,1
